🕘️正在更新中，刷新获取最新结果,#genre#
2026-01-14 08:15:40,http://172.50.0.2/hls/4261946188218017421.m3u8

📺央视频道,#genre#
CCTV-1 综合,http://172.50.0.2/hls/4261946188218017421.m3u8
CCTV-2 财经,http://172.50.0.2/hls/1068467719321105204.m3u8
CCTV-3 综艺,http://172.50.0.2/hls/6267858294994134238.m3u8
CCTV-3 综艺,http://172.50.0.2/hls/3266685063239257868.m3u8
CCTV-3 综艺,http://172.50.0.2/hls/-795752148697036337.m3u8
CCTV-5 体育,http://172.50.0.2/hls/-1637506999691288673.m3u8
CCTV-5 体育,http://172.50.0.2/hls/2738842280889925593.m3u8
CCTV-5 体育,http://172.50.0.2/hls/-661414971716394841.m3u8
CCTV-5 体育,http://172.50.0.2/hls/-7020525721388963565.m3u8
CCTV-6 电影,http://172.50.0.2/hls/-7537959212096422873.m3u8
CCTV-6 电影,http://172.50.0.2/hls/8166290694273685047.m3u8
CCTV-6 电影,http://172.50.0.2/hls/6263155972365328266.m3u8
CCTV-7 国防军事,http://172.50.0.2/hls/4456953569938610820.m3u8
CCTV-7 国防军事,http://172.50.0.2/hls/-7331457031834461387.m3u8
CCTV-8 电视剧,http://172.50.0.2/hls/-727921504262826814.m3u8
CCTV-8 电视剧,http://172.50.0.2/hls/2826244483624161449.m3u8
CCTV-8 电视剧,http://172.50.0.2/hls/-5367467679355723969.m3u8
CCTV-9 纪录,http://172.50.0.2/hls/-582290520805701695.m3u8
CCTV-10 科教,http://172.50.0.2/hls/7351126403873716632.m3u8
CCTV-11 戏曲,http://172.50.0.2/hls/-1520704932448666648.m3u8
CCTV-12 社会与法,http://172.50.0.2/hls/7755097732546431720.m3u8
CCTV-12 社会与法,http://172.50.0.2/hls/6032744536515928556.m3u8
CCTV-13 新闻,http://172.50.0.2/hls/-786857361846726804.m3u8
CCTV-13 新闻,http://172.50.0.2/hls/-5361504683334249062.m3u8
CCTV-14 少儿,http://172.50.0.2/hls/-2831407821915739127.m3u8
CCTV-15 音乐,http://172.50.0.2/hls/-8097794601124717493.m3u8
CCTV-15 音乐,http://172.50.0.2/hls/-5243147026653281750.m3u8
CCTV-15 音乐,http://172.50.0.2/hls/6674619280135633585.m3u8
CCTV-16 奥林匹克,http://172.50.0.2/hls/-1225101716590498675.m3u8
CCTV-16 奥林匹克,http://172.50.0.2/hls/1128907354520230260.m3u8
CCTV-17 农业农村,http://172.50.0.2/hls/8021825018695354795.m3u8
CCTV-17 农业农村,http://172.50.0.2/hls/-7813788590248599923.m3u8
CCTV-17 农业农村,http://172.50.0.2/hls/-6520487759080069885.m3u8
CCTV-17 农业农村,http://172.50.0.2/hls/3147754392261999298.m3u8
CCTV-17 农业农村,http://172.50.0.2/hls/9176340930048822986.m3u8
CHC动作电影,http://172.50.0.2/hls/5510659780673777584.m3u8
CHC动作电影,http://172.50.0.2/hls/-4155101214419046283.m3u8
CHC动作电影,http://172.50.0.2/hls/-2293439550712426665.m3u8
CHC家庭影院,http://172.50.0.2/hls/2890559616702052115.m3u8
CHC高清电影,http://172.50.0.2/hls/5826756237324341250.m3u8

📺CETV（中国教育电视台）,#genre#
CETV-1 教育综合,http://172.50.0.2/hls/5005167939179276842.m3u8
CETV-1 教育综合,http://172.50.0.2/hls/-6457506148342951311.m3u8
CETV-2 教育教学,http://172.50.0.2/hls/-7963046388985200817.m3u8
CETV-4 职业教育（空中课堂）,http://172.50.0.2/hls/8010572316583303158.m3u8
CETV-4 职业教育（空中课堂）,http://172.50.0.2/hls/2523248945769431503.m3u8

💰央视付费频道,#genre#
CCTV-第一剧场,http://172.50.0.2/hls/8382703318704653222.m3u8
CCTV-怀旧剧场,http://172.50.0.2/hls/-6657207264537727037.m3u8
CCTV-怀旧剧场,http://172.50.0.2/hls/-557299410555899994.m3u8
CCTV-风云音乐,http://172.50.0.2/hls/-109219332704681806.m3u8
CCTV-风云音乐,http://172.50.0.2/hls/2550051951370984644.m3u8
CCTV-风云音乐,http://172.50.0.2/hls/-3468761871325246752.m3u8
CCTV-世界地理,http://172.50.0.2/hls/-6491222575120815417.m3u8
CCTV-世界地理,http://172.50.0.2/hls/563013372099281975.m3u8
CCTV-央视文化精品,http://172.50.0.2/hls/-4504853876551810308.m3u8
CCTV-央视台球,http://172.50.0.2/hls/-6938994569330948769.m3u8
CCTV-风云足球,http://172.50.0.2/hls/-2749188825120152238.m3u8
CCTV-风云足球,http://172.50.0.2/hls/7619214602997727320.m3u8
CCTV-高尔夫·网球,http://172.50.0.2/hls/4656825016554879582.m3u8
