🕘️更新时间,#genre#
2026-05-17 10:09:59,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1 综合,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://123.113.104.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=14
CCTV-1 综合,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=4
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=6
CCTV-1 综合,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1 综合,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1 综合,https://iptv.catvod.com/live.php?id=CCTV1&line=16
CCTV-1 综合,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1 综合,http://182.150.23.74:808/hls/1/index.m3u8
CCTV-1 综合,http://183.11.239.36:808/hls/19/index.m3u8
CCTV-1 综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1 综合,http://123.130.84.106:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2 财经,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://123.113.104.82:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=5
CCTV-2 财经,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-2 财经,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=4
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=8
CCTV-2 财经,https://iptv.catvod.com/live.php?id=CCTV2&line=3
CCTV-2 财经,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2 财经,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-2 财经,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2 财经,http://182.150.23.74:808/hls/2/index.m3u8
CCTV-3 综艺,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://123.113.104.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-3 综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=6
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=4
CCTV-3 综艺,http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=3
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=5
CCTV-3 综艺,https://iptv.catvod.com/live.php?id=CCTV3&line=7
CCTV-3 综艺,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3 综艺,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV-4 中文国际,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-4 中文国际,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV-4 中文国际,http://123.113.104.82:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8
CCTV-4 中文国际,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-4 中文国际,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4 中文国际,https://iptv.catvod.com/live.php?id=CCTV4&line=3
CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 中文国际,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV-4 中文国际,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV-4 中文国际,https://iptv.catvod.com/live.php?id=CCTV4&line=6
CCTV-4 中文国际,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4 中文国际,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-4 中文国际,http://182.150.23.74:808/hls/4/index.m3u8
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=1
CCTV-5 体育,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5 体育,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5 体育,http://192.151.150.154/live/cctv5p.m3u8
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=10
CCTV-5 体育,http://222.169.85.8:9901/tsfile/live/0005_1.m3u8
CCTV-5 体育,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8
CCTV-5 体育,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=8
CCTV-5 体育,https://iptv.catvod.com/live.php?id=CCTV5&line=6
CCTV-5 体育,http://123.113.104.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-5 体育,http://112.46.85.60:8009/hls/503/index.m3u8
CCTV-5 体育,http://182.150.23.74:808/hls/5/index.m3u8
CCTV-5+ 体育赛事,http://107.150.60.122/live/cctv5p.m3u8
CCTV-5+ 体育赛事,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事,http://cssbyd.imwork.net:8082/hls/6/index.m3u8
CCTV-5+ 体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV-5+ 体育赛事,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8
CCTV-5+ 体育赛事,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8
CCTV-5+ 体育赛事,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV-5+ 体育赛事,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
